name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
Data Analyst;XTB;Mid;['Data', 'Python', 'SQL', 'Data base', 'Polski', 'Angielski'];['Microsoft Azure', 'Databricks', 'Spark', 'PySpark'];Praca zdalna;data analyst;11760;18480;PLN;
Data Analyst CRM;Connectis_;Junior;['Data', 'CRM', 'Python', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data analyst;17000;21000;PLN;
Customer Master Data Senior Analyst;Devire Sp. z o.o.;Senior;['Data', 'T-SQL', 'SAP', 'Excel', 'Communication skills', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;25200;33600;PLN;
Data analyst;Uncapped;Mid;['Data', 'SQL', 'Problem solving', 'Critical thinking', 'Communication skills', 'Angielski (B2)', 'Polski'];['Python', 'BigQuery', 'Proactivity', 'GCP'];Warszawa;data analyst;10000;16000;PLN;
Senior Data Analyst;Brainly Sp. z o.o.;Senior;['Data', 'SQL', 'Google Analytics', 'Tableau', 'BigQuery', 'A/B Testing', 'Angielski'];['Python', 'Google Tag Manager', 'Amplitude', 'Snowflake'];Praca zdalna;data analyst;17000;23000;PLN;
BI Data Analyst - Remote;Link Group;Mid;['Business Intelligence', 'Tableau', 'ETL', 'SQL', 'Snowflake', 'Redshift', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;10080;11760;PLN;
Senior Product Data Analyst (Maternity Cover);Beekeeper AG;Senior;['Data', 'SQL', 'R', 'Python', 'Tableau', 'Looker', 'Shiny', 'Angielski'];['Pendo', 'Mixpanel'];Kraków;data analyst;21000;27500;PLN;
Senior Expert - Management Reporting & Analytics;HSBC Technology Poland;Senior;['Finanse', 'Accounting', 'Management Reporting', 'Reporting', 'Audit', 'Analytical skills', 'Excel', 'PowerPoint', 'Angielski (C1)'];['CIMA', 'ACCA'];Kraków;data analyst;;;;Brak widełki
Mid Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;Mid;['Data', 'SQL', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'GCP', 'PowerBI', 'Tableau', 'Data analytics', 'Data', 'Google Analytics'];Praca zdalna;data analyst;14000;21000;PLN;
Analityk baz danych Oracle;in4ge sp. z o.o.;Junior;['Business Intelligence', 'Oracle', 'SQL', 'Oracle Business Intelligence', 'BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki
Junior Analityk Danych / Analityczka Danych;Alterdata.io sp. z o.o.;Junior;['Data', 'SQL', 'Polski (NATIVE)', 'Angielski (B2)'];['Azure', 'GCP', 'PowerBI', 'Tableau', 'Data analytics', 'Data', 'Google Analytics'];Praca zdalna;data analyst;7000;11000;PLN;
Junior Oracle Business Analyst;in4ge sp. z o.o.;Junior;['Business Analysis', 'Oracle', 'Oracle Business Intelligence', 'SQL', 'Polski', 'Angielski'];Brak;Praca zdalna;data analyst;;;;Brak widełki
Regular Product Owner/Busines Analyst;Unravel;Mid;['Business Analysis', 'BSc', 'MSc', 'Degree', 'Angielski'];Brak;Praca zdalna;data analyst;14280;18480;PLN;
Senior Data Scientist (NLP and Computer Vision);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'Computer vision', 'AWS SageMaker', 'Huggingface', 'Angielski'];['AWS', 'LLMs'];Praca zdalna;data scientist;26000;35000;PLN;
Junior Data Scientist;Ringier Axel Springer Tech;Junior;['Data', 'Python', 'Data science', 'SQL', 'R', 'Angielski (B2)'];['AWS', 'PyTorch'];Warszawa;data scientist;7100;11900;PLN;
Lead/Senior Data Scientist;Addepto;Senior;['AI', 'Python', 'SQL', 'Machine Learning', 'NLP', 'Cloud', 'Git', 'consulting', 'Data science', 'Deep learning', 'Angielski (C1)', 'Polski'];['TensorFlow', 'Spark', 'Kubernetes', 'MLflow', 'CI/CD', 'BI', 'AWS', 'Computer vision', 'pandas', 'scikit-learn', 'Keras', 'PyTorch', 'Docker', 'GenAI', 'LLM'];Praca zdalna;data scientist;19320;28560;PLN;
Data Scientist;Connectis_;Mid;['Data', 'Python', 'R', 'SQL', 'Git', 'Machine learning', 'Angielski (B2)'];['MLOps', 'Azure Databricks'];Praca zdalna;data scientist;18000;22000;PLN;
Senior Data Scientist;AVENGA;Senior;['Data', 'RAG pipelines', 'Python', 'NLP', 'Deep learning', 'PyTorch', 'large language model architectures', 'Machine learning', 'AI', 'Angielski (B2)', 'Polski (NATIVE)'];Brak;Praca zdalna;data scientist;24360;27720;PLN;
Data Scientist/ML Engineer;able.tech;Senior;['Data', 'Data science', 'Degree', 'Machnine Learning', 'Python', 'Data analysis', 'SQL', 'Angielski (C1)'];['Azure Data Lake', 'Statistics', 'Data pipelines'];Praca zdalna;data scientist;22000;32000;PLN;
Senior Data Scientist (NLP & LLMs);Onwelo Sp. z o.o.;Senior;['AI', 'Python', 'GenAI', 'Azure', 'LangChain', 'LlamaIndex', 'OpenAI', 'Angielski (B2)'];Brak;Praca zdalna;data scientist;21000;27300;PLN;
Transportation Data Scientist;Jacobs;Senior;['Data', 'BS', 'Data analysis', 'Data visualization', 'Tableau', 'SQL', 'Relational database', 'Machine learning', 'Forecasting', 'Communication skills', 'Angielski', 'Polski'];Brak;['Wrocław', 'Lublin', 'Rzeszów', 'Warszawa', 'Katowice', 'Kraków', 'Poznań'];data scientist;;;;Brak widełki
Lead/Senior Data Scientist (NLP);Sigmoidal;Senior;['Data', 'AI', 'Python', 'Machine learning', 'Data science', 'AWS', 'NLP', 'Angielski (B2)', 'Polski (B2)'];Brak;Praca zdalna;data scientist;25000;35000;PLN;
Senior Data Scientist;Ringier Axel Springer Tech;Senior;['Data', 'Python', 'Data science', 'SQL', 'Angielski (B2)'];['AWS'];['Kraków', 'Warszawa'];data scientist;;;;Brak widełki
Middle Data Scientist;Godel Technologies Europe;Mid;['Data', 'Data science', 'Deep learning', 'Natural language processing', 'Python', 'scikit-learn', 'Keras', 'Machine learning', 'SQL', 'Angielski (B1)'];['MLOps', 'Cloud platform'];['Wrocław', 'Gdańsk', 'Warszawa', 'Łódź', 'Białystok'];data scientist;16000;23000;PLN;
