name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary;average_salary
Senior Data Analyst;Brainly Sp. z o.o.;Senior;['Data', 'SQL', 'Google Analytics', 'Tableau', 'BigQuery', 'A/B Testing', 'Angielski'];['Python', 'Google Tag Manager', 'Amplitude', 'Snowflake'];Praca zdalna;data analyst;17000.0;23000.0;PLN;;20000.0
BI Data Analyst - Remote;Link Group;Mid;['Business Intelligence', 'Tableau', 'ETL', 'SQL', 'Snowflake', 'Redshift', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;10080.0;11760.0;PLN;;10920.0
Senior Product Data Analyst (Maternity Cover);Beekeeper AG;Senior;['Data', 'SQL', 'R', 'Python', 'Tableau', 'Looker', 'Shiny', 'Angielski'];['Pendo', 'Mixpanel'];Kraków;data analyst;21000.0;27500.0;PLN;;24250.0
Data analyst;Uncapped;Mid;['Data', 'SQL', 'Problem solving', 'Critical thinking', 'Communication skills', 'Angielski (B2)', 'Polski'];['Python', 'BigQuery', 'Proactivity', 'GCP'];Warszawa;data analyst;10000.0;16000.0;PLN;;13000.0
Data Analyst CRM;Connectis_;Junior;['Data', 'CRM', 'Python', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data analyst;17000.0;21000.0;PLN;;19000.0
Customer Master Data Senior Analyst;Devire Sp. z o.o.;Senior;['Data', 'T-SQL', 'SAP', 'Excel', 'Communication skills', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data analyst;25200.0;33600.0;PLN;;29400.0
Data Analyst;SymphonyAI;Mid;['Data', 'Python', 'SQL', 'ETL', 'Angielski (B2)'];['Dask', 'Polars'];Poznań;data analyst;;;;Brak widełki;
Senior Data Scientist (NLP and LLMs);Brainly Sp. z o.o.;Senior;['AI', 'Python', 'NLP', 'Deep learning', 'transformers', 'AWS', 'Angielski'];['LLMs'];Praca zdalna;data scientist;26000.0;35000.0;PLN;;30500.0
Senior Data Scientist (NLP & LLMs);Onwelo Sp. z o.o.;Senior;['AI', 'Python', 'GenAI', 'Azure', 'LangChain', 'LlamaIndex', 'OpenAI', 'Angielski (B2)'];Brak;Praca zdalna;data scientist;21000.0;27300.0;PLN;;24150.0
Data Scientist;Shelf;Senior;['Data', 'AI', 'Data analytics', 'NLP', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'PyTorch', 'PhD', 'Machine learning', 'Machine Learning', 'GitHub', 'Angielski (B2)'];['Degree', 'Amazon ML Services', 'autonomous agents development'];Praca zdalna;data scientist;24225.0;32300.0;PLN;;28262.5
Middle Data Scientist;Godel Technologies Europe;Mid;['Data', 'Data science', 'Deep learning', 'Natural language processing', 'Python', 'scikit-learn', 'Keras', 'Machine learning', 'SQL', 'Angielski (B1)'];['MLOps', 'Cloud platform'];['Warszawa', 'Łódź', 'Białystok', 'Gdańsk', 'Wrocław'];data scientist;16000.0;23000.0;PLN;;19500.0
Data Scientist (DS/Operations Research Experience);Lingaro;Mid;['Data', 'Python', 'SQL', 'Azure', 'Angielski (C1)'];['GCP', 'Machine learning', 'Kanban', 'Requirements gathering', 'Communication skills', 'Spark', 'PySpark', 'AI'];Praca zdalna;data scientist;16800.0;23520.0;PLN;;20160.0
Data Scientist;Connectis_;Mid;['Data', 'Python', '4GL', 'SQL', 'Machine learning', 'Polski (NATIVE)'];['MLOps'];Warszawa;data scientist;18000.0;23000.0;PLN;;20500.0
Senior Data Scientist;Link Group;Senior;['Data', 'Python', 'Data science', 'Machine learning', 'SQL', 'Git', 'Docker', 'Java', 'C', 'C++', 'Scala', 'Angielski (C1)'];['Hadoop'];Warszawa;data scientist;20160.0;23520.0;PLN;;21840.0
Senior Data Scientist;Devire;Senior;['Data', 'Data modelling', 'Use cases', 'Python', 'Azure', 'Communication skills', 'Power BI', 'Polski', 'Angielski'];Brak;Praca zdalna;data scientist;;;;Brak widełki;
Data Scientist;Connectis_;Mid;['Data', 'Python', 'R', 'SQL', 'Git', 'Machine learning', 'Angielski (B2)'];['MLOps', 'Azure Databricks'];Praca zdalna;data scientist;18000.0;22000.0;PLN;;20000.0
Senior Data Scientist z Data Analytics;eConsulting;Mid;['Data', 'Python', 'AWS', 'R', 'SQL', 'Angielski (C1)'];Brak;Praca zdalna;data scientist;;;;Brak widełki;
